DATE,TIME,CHANNEL,MESSAGE,PRIORITY
01/10/18,10:16:53,GRAPHICS,Initializing glfw...,2
01/10/18,10:16:53,GRAPHICS,Initialized glfw,2
01/10/18,10:16:56,GRAPHICS,Window created,2
01/10/18,10:16:56,CORE,Loading resource: assets\scriptsRedGnomeWeapon.lua,2
01/10/18,10:16:56,CORE,Loading resource: assets\animationsblueGnomeHealth.json,2
01/10/18,10:16:56,CORE,Loading resource: assets\texturesParallax_Hills.png,2
01/10/18,10:16:56,CORE,Loading resource: assets\scriptsPlayMusicOnCreate.lua,2
01/10/18,10:16:56,CORE,Loading resource: assets\scriptsDancingBoy.lua,2
01/10/18,10:16:56,CORE,Loading resource: assets\scriptsPlayerController.lua,2
01/10/18,10:16:56,CORE,Loading resource: assets\texturesShinyBanner.png,2
01/10/18,10:16:56,CORE,Loading resource: assets\scriptsCheatTeleport.lua,2
01/10/18,10:16:56,CORE,Loading resource: assets\textures\BackgroundBackground_Cave.png,2
01/10/18,10:16:56,CORE,Loading resource: assets\texturesKnightFire_Icon.png,2
01/10/18,10:16:56,CORE,Loading resource: assets\texturesShiny_Frame.png,2
01/10/18,10:16:56,CORE,Loading resource: assets\texturesThorns.png,2
01/10/18,10:16:56,CORE,Loading resource: assets\scriptsGnomeMovement.lua,2
01/10/18,10:16:56,CORE,Loading resource: assets\scriptsLevel1GUI.lua,2
01/10/18,10:16:56,CORE,Loading resource: assets\texturesBack_Environment_Cloud1.png,2
01/10/18,10:16:56,CORE,Loading resource: assets\texturesBack_Environment_Cloud2.png,2
01/10/18,10:16:56,CORE,Loading resource: assets\texturesBack_Environment_Cloud3.png,2
01/10/18,10:16:56,CORE,Loading resource: assets\animationsredGnomeWalk.json,2
01/10/18,10:16:56,CORE,Loading resource: assets\texturesSquare.png,2
01/10/18,10:16:56,CORE,Loading resource: assets\texturesSpores.png,2
01/10/18,10:16:56,CORE,Loading resource: assets\texturesTankStone_Shield.png,2
01/10/18,10:16:56,CORE,Loading resource: assets\scriptsEndLevelScript.lua,2
01/10/18,10:16:56,CORE,Loading resource: assets\audiolevel_1.mp3,2
01/10/18,10:16:57,CORE,Loading resource: assets\scriptsTossScript.lua,2
01/10/18,10:16:57,CORE,Loading resource: assets\texturesPickup_Gem.png,2
01/10/18,10:16:57,CORE,Loading resource: assets\texturesEdgeShroom.png,2
01/10/18,10:16:57,CORE,Loading resource: assets\texturesBonus_Line.png,2
01/10/18,10:16:57,CORE,Loading resource: assets\texturesShinyCounter.png,2
01/10/18,10:16:57,CORE,Loading resource: assets\texturesCollection_Counter_Full.png,2
01/10/18,10:16:57,CORE,Loading resource: assets\textures\TilesTile_Stone.png,2
01/10/18,10:16:57,CORE,Loading resource: assets\texturesHealth_Enemy_Frame.png,2
01/10/18,10:16:57,CORE,Loading resource: assets\texturesTree_Leaf.png,2
01/10/18,10:16:57,CORE,Loading resource: assets\texturesTankStone_Icon.png,2
01/10/18,10:16:57,CORE,Loading resource: assets\texturesLife.png,2
01/10/18,10:16:57,CORE,Loading resource: assets\texturesUI_Healthbar_bar.png,2
01/10/18,10:16:57,CORE,Loading resource: assets\texturessky.png,2
01/10/18,10:16:57,CORE,Loading resource: assets\audiojump.mp3,2
01/10/18,10:16:57,CORE,Loading resource: assets\scriptsInteractive.lua,2
